finetune_steps,finetune_depth,finetune_loss,score
50,1,default,0.5038
100,1,default,0.4812
150,1,default,0.4782
200,1,default,0.4844
250,1,default,0.4763
300,1,default,0.4832
350,1,default,0.4728
400,1,default,0.4828
450,1,default,0.4739
500,1,default,0.4725
50,2,default,0.4839
100,2,default,0.5177
150,2,default,0.4847
200,2,default,0.4726
250,2,default,0.4757
300,2,default,0.484
350,2,default,0.4762
400,2,default,0.4791
450,2,default,0.4746
500,2,default,0.4726
50,3,default,0.4811
100,3,default,0.47
150,3,default,0.4821
200,3,default,0.4712
250,3,default,0.4839
300,3,default,0.4706
350,3,default,0.4839
400,3,default,0.4701
450,3,default,0.4921
500,3,default,0.4712
50,4,default,0.4846
100,4,default,0.4799
150,4,default,0.4865
200,4,default,0.4693
250,4,default,0.4717
300,4,default,0.4806
350,4,default,0.4803
400,4,default,0.4828
450,4,default,0.4915
500,4,default,0.4928
50,5,default,0.4928
100,5,default,0.4901
150,5,default,0.4812
200,5,default,0.4857
250,5,default,0.4746
300,5,default,0.4829
350,5,default,0.4773
400,5,default,0.4789
450,5,default,0.4972
500,5,default,0.4907
